Comment,Designator,Footprint,LCSC
SI5351A,U1,MSOP-10_3x3mm_P0.5mm,C1509083
4.7k,"R3,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
OSCILLATOR,Y1,XTAL_ASTX-H11-25.000MHZ-T-Same,C213404
100nF,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
