Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,105,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,16.506687,-11.254216,0.0,top
C2,100nF,C_0805_2012Metric,9.306687,-5.734216,0.0,top
C3,105,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,20.326687,-10.004216,-90.0,top
C4,104,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,19.926687,-5.804216,90.0,top
JP1,~,1X07_ROUND_76,9.027787,-13.662816,180.0,top
R3,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,7.957687,-11.275216,180.0,top
R4,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,12.351687,-11.254216,0.0,top
U1,SI5351A,MSOP-10_3x3mm_P0.5mm,15.406687,-7.354216,270.0,top
Y1,OSCILLATOR,OSC-SMD_4P-L3.2-W2.5-BL-1,5.596687,-7.241716,90.0,top
